"crsp_fundno","caldt","alpha_ann","alpha_ann_lag","age_months_lag","manager_tenure_lag","tna_latest_lag","turn_ratio_lag","exp_ratio_lag","flow_ann_lag","flowvol_ann_lag","alpha_t_lag","mktrf_t_lag","smb_t_lag","hml_t_lag","rmw_t_lag","cma_t_lag","umd_t_lag","r2_lag","value_added_ann_lag"
50782,2014-12-31,0.132195825633578,NA,39,3.91666666666667,183.4,0.48,0.0116,-0.252727516185667,0.0879778073765054,-0.629831829625099,9.7896969683488,-0.358844441990326,-1.97296526000353,-1.9301682792807,-1.72829593389384,-3.51393796420598,0.918982464437547,NA
50782,2015-12-31,-0.0120423715643899,0.132195825633578,51,4.91666666666667,282.5,0.61,0.011,0.210804057780096,0.138881663542249,0.121058698442486,9.34023385020821,-0.772952726059749,-0.998496452096408,-1.49566924581206,-2.9237867252398,-3.09769590002685,0.87416877534105,31.3157018429252
50782,2016-12-30,0.0611358974512988,-0.0120423715643899,63,5.91666666666667,345.1,0.48,0.011,0.110515675867305,0.0363709177059952,1.06838449460239,6.81278562531553,-0.35805879589402,0.0198544946724127,-2.22268574569228,-0.61355191010926,-0.495133056452624,0.705578730718649,-2.4945778016595
50782,2017-12-29,0.0452658773963589,0.0611358974512988,75,6.91666666666667,437.5,0.54,0.0104,0.0942908240237684,0.0409345303591461,1.7521053523657,6.00388769334868,0.88175541375018,-0.170446998937767,0.16279041753492,-1.70175573888186,-0.462383627806548,0.701367086250933,22.8151674449526
50782,2018-12-31,-0.0264196665406739,0.0452658773963589,87,7.91666666666667,1063,0.39,0.0099,0.687434427927032,0.418142224343655,1.19861558864929,4.52505599709754,0.720060819622063,-1.07786500219149,-0.0528199262087001,-1.38165752520572,-0.704289077205725,0.612842229735595,15.0089458729075
50782,2019-12-31,0.197221501644256,-0.0264196665406739,99,8.91666666666667,954,0.37,0.0099,-0.0178872916771788,0.0777892543406529,0.771663509846438,4.26134025541714,1.16765907753241,-0.410889547283957,1.12166013157084,-3.30661834987955,-0.517684886883442,0.715412228628039,-24.7301211209807
50782,2020-12-31,0.11923907643854,0.197221501644256,111,9.91666666666667,1327.4,0.37,0.0098,-0.107374243305564,0.0524097333883472,0.693434373774182,5.57850343796623,-0.253459918167543,0.355410581278002,-0.265189608646282,-3.3363342748272,-1.23838579103118,0.803306377091619,231.019501406613
50782,2021-12-31,0.241010060009605,0.11923907643854,123,10.9166666666667,1798.6,0.32,0.0095,-0.0629248944675933,0.0244801169206185,1.35050902382191,10.6380845422457,0.400842944830443,0.340638138579568,-1.40476142011585,-1.89525222830431,-1.03292393961692,0.899610483776402,171.196187197392
50782,2022-12-30,-0.0891650564633759,0.241010060009605,135,11.9166666666667,2406.4,0.16,0.0092,-0.0419137695282254,0.0206835672334849,3.00389453462314,11.3203935404339,1.32670663693498,-1.13202291607285,-0.429270346249393,0.383048427725432,-1.69174851597692,0.913007507168628,523.755146693483
50782,2023-12-29,0.0960975507189511,-0.0891650564633759,147,12.9166666666667,1630.9,0.13,0.0095,-0.0145841322622918,0.0266141858586771,0.844838400729264,13.4736346543335,2.09769315077314,-2.11455445293311,0.50255310566507,1.3819116201709,-1.41103818155769,0.919528394330665,-163.752422370213
50782,2024-12-31,0.00583794738757443,0.0960975507189511,159,13.9166666666667,2754.4,0.39,0.0092,0.162370986329655,0.015579833198917,1.08910412781753,11.4070513104413,1.65669066901018,-0.862231138309021,0.368725044071673,-0.466232136704187,-0.76737480099274,0.871919019972088,203.430176814836
